,Texas Predict,New York Predict,California Predict,Florida Predict,Illinois Predict,Arizona Predict,Georgia Predict,Massachusetts Predict,New Jersey Predict,Pennsylvania Predict,North Carolina Predict,Louisiana Predict,Maryland Predict,Virginia Predict,Ohio Predict,South Carolina Predict,Alabama Predict,Tennessee Predict,Wyoming Predict,Oklahoma Predict,Arkansas Predict,Maine Predict,Minnesota Predict,Utah Predict,South Dakota Predict,North Dakota Predict,Iowa Predict,Missouri Predict,Wisconsin Predict,Vermont Predict,Mississippi Predict,Colorado Predict,Idaho Predict,Indiana Predict,Nevada Predict,Washington Predict,New Mexico Predict
30,6703.044462483376,-83.91309529542923,23523.575393483043,13964.287471026182,2910.1099353283644,3770.060691749677,4098.103934666142,4369.851143565029,11540.04572890699,1872.713037300855,-5804.852407891303,1510.7693034224212,-7560.750062111765,-3645.954071544111,5792.717740405351,4788.28779887408,1693.4121522353962,-5273.509304970503,-120.5684293381637,792.7084225229919,2841.8943693395704,105.1425106197712,990.0189033942297,4156.208451604471,910.2764597628266,428.0842586013023,-219.44526815786958,5357.955436920747,2360.877289902419,-2.551665374994627,-681.2038773205131,-2339.517726795748,-393.7538967875298,39.119768189266324,338.2951545063406,249.68365323729813,2203.8024326320738
31,6775.810848921537,442.5235092639923,23615.102749317884,13964.287471026182,3053.969005122781,3771.536867134273,4160.957760177553,4464.204714167863,11762.502253986895,1996.6342952102423,-5804.852407891303,1632.8042838722467,-7501.690241042525,-3586.490551242605,5847.014486789703,4788.28779887408,1719.476524158381,-5273.509304970503,-119.46212816837942,792.7084225229919,2841.8943693395704,104.96964387129992,990.0189033942297,4156.208451604471,910.2764597628266,429.08498289762065,-203.38949980214238,5368.419922888279,2360.877289902419,-2.1409667851912673,-681.2038773205131,-2267.9582762066275,-389.66107968008146,107.61385783553123,339.00791095220484,338.0489652045071,2208.4577794885263
32,6848.559307400137,969.3596512079239,23706.622421741486,13964.287471026182,3198.6431567929685,3773.013042518869,4223.803582135588,4562.518442980945,11988.53924870491,2120.570919942111,-5804.852407891303,1754.8392643220723,-7442.632340826094,-3527.028951793909,5901.315074879676,4788.28779887408,1745.5396155128255,-5273.509304970503,-118.14275239885319,792.7084225229919,2841.8943693395704,104.83762525836937,990.0189033942297,4156.208451604471,910.2764597628266,430.0858672650065,-187.33325123321265,5378.884088713676,2360.877289902419,-1.7303044614891405,-681.2038773205131,-2196.4020270388573,-385.5684626614675,176.1101884767413,339.7205873625353,426.4120361767709,2213.1124860607088
33,6921.289837919176,1519.6455642580986,23798.129288479686,13964.287471026182,3347.676363773644,3774.489217903465,4286.643001250923,4665.938438847661,12217.248789966106,2244.5229114964604,-5804.852407891303,1876.8729642033577,-7383.575721178204,-3467.5699134822935,5955.616943538189,4788.28779887408,1771.601746440865,-5273.509304970503,-116.73751851049019,792.7084225229919,2841.8943693395704,104.73973179614404,990.0189033942297,4156.208451604471,910.2764597628266,431.0869117034599,-171.27508181147277,5389.348894823343,2360.877289902419,-1.3196734016673872,-681.2038773205131,-2124.8499397188425,-381.47600571392104,244.6077996864915,340.4331437195651,514.7744668647647,2217.7667124196887
34,6994.001800194383,2087.4086767435074,23889.628471806645,13964.287471026182,3503.353800624609,3775.965073145926,4349.474736955017,4771.429754327983,12445.986503735185,2370.4476188868284,-5804.852407891303,1998.906023800373,-7324.521022383124,-3408.112796023488,6009.920733049512,4788.28779887408,1797.662756871432,-5273.064307402819,-115.33220458659343,792.7084225229919,2841.8943693395704,104.68751861480996,990.0189033942297,4156.208451604471,910.2764597628266,432.0881162129808,-155.21531167905778,5399.812420364469,2360.877289902419,-0.9090836101677269,-681.2038773205131,-2053.300733678043,-377.383748855209,313.1070116069168,341.14566005882807,603.1349766999483,2222.4202984943986
35,7066.695194225758,2667.8238064050674,23981.114849448204,13964.287471026182,3666.2984639406204,3777.440608246252,4412.2997496742755,4880.176275037229,12674.754951149225,2497.896843124181,-5804.852407891303,2120.9397236816585,-7265.467604156584,-3348.6579195596278,6064.227083697915,4788.28779887408,1823.722486733459,-5268.890614388511,-113.92681062716292,792.7084225229919,2841.8943693395704,104.72101348568685,990.0189033942297,4156.208451604471,910.5056815315038,433.12509660609066,-139.1545811202377,5410.276586189866,2360.877289902419,-0.49852383199322503,-681.2038773205131,-1981.7550492007285,-373.2822478923481,383.3846130874008,341.8580163270235,692.9575756657869,2227.073404355906
36,7139.370660297573,3252.1625980734825,24072.593543678522,13964.287471026182,3829.246968962252,3778.916143346578,4475.117399124429,4989.980545360595,12903.556693345308,2625.3595133312047,-5804.852407891303,2242.972142994404,-7206.416106782854,-3289.2043236643076,6118.535995483398,4788.28779887408,1849.7815763112158,-5259.727826341987,-112.5213566410821,792.7084225229919,2841.8943693395704,104.75444832991343,990.0189033942297,4156.208451604471,911.083938262891,434.2037354945205,-123.09224985074252,5420.740111730993,2360.877289902419,-0.08799906936474144,-681.2038773205131,-1910.2128862868994,-369.12320138071664,454.2259848676622,342.57037259521894,785.6582524254918,2231.7258699331433
37,7212.0269178412855,3856.457769870758,24164.05943222344,13964.287471026182,3997.545689344406,3780.391358304769,4537.928325589746,5107.806297019124,13132.386608049273,2758.044342044741,-5804.852407891303,2365.003922022879,-7147.365889977664,-3229.7526486217976,6172.846187837422,4788.28779887408,1875.8395453915,-5243.8318089116365,-111.11582261946751,792.7084225229919,2841.8943693395704,104.78784315637313,990.0189033942297,4156.208451604471,912.1368857449852,435.28333480935544,-107.02831787057221,5431.20427755639,2360.877289902419,0.322488176607294,-681.2038773205131,-1838.6739247944206,-364.9031277745962,527.3717397358268,343.2826888456475,881.8971400614828,2236.377855297178
38,7284.665247425437,4467.22749620676,24255.517637357116,13964.287471026182,4171.29322886467,3781.8665732629597,4600.731888785958,5226.539331488311,13368.28782223165,2900.196413975209,-5804.852407891303,2487.0363413356245,-7088.317594025284,-3170.3041750006378,6227.159581612796,4788.28779887408,1901.8963939743116,-5218.7886903993785,-109.71020856231917,792.7084225229919,2841.8943693395704,104.82117795618251,990.0189033942297,4156.208451604471,913.836840481963,436.4691812952515,-90.9631053218618,5441.667803097516,2360.877289902419,0.7329391564780963,-681.2038773205131,-1767.138805007562,-360.6832142395433,601.5201797708869,343.9948850427754,982.3977597989142,2241.0293604480103
39,7357.286929618567,5080.332979559898,24346.96559794247,13964.287471026182,4345.186112914234,3783.3417882211506,4663.528728997335,5354.817723855376,13619.861914776266,3054.837230592966,-5804.852407891303,2609.06876064837,-7029.2718592099845,-3110.856981948018,6281.473615672439,4788.28779887408,1927.9524422017857,-5181.495973374695,-108.30451446963707,792.7084225229919,2841.8943693395704,104.85447273822501,990.0189033942297,4156.208451604471,916.4200673694722,437.65514783444814,-74.89645213354379,5452.130688354373,2361.1382057424635,1.143358872468525,-681.2038773205131,-1695.6072067841887,-356.4634607755579,680.0424016546458,344.70704122213647,1086.8908721022308,2245.6802253145725
